82,9
54,11
5,13
59,13
17,22
12,26
21,26
22,26
24,26
25,26
28,26
31,26
33,26
42,26
44,26
45,26
50,26
53,26
62,26
72,26
77,26
78,26
83,26
89,26
91,26
94,26
96,26
97,26
17,28
23,29
32,29
13,44
30,56
76,56
5,58
13,58
45,58
59,58
35,62
24,63
42,63
49,63
91,63
31,64
11,66
15,66
20,66
26,66
52,66
53,66
61,66
63,66
64,66
86,66
87,66
90,66
93,66
47,72
75,72
67,78
16,85
17,85
19,85
25,85
28,85
44,85
72,85
75,85
77,85
94,85
56,86
60,86
80,86
58,93
51,94
69,94
40,97
42,99
75,99
91,99
42,100
81,100
91,100
42,102
75,104
81,104
85,105
91,105
90,106
90,107
9,310
53,108
